Ch	Time	ch[0]	ch[1]	ch[2]	ch[3]	ch[4]	ch[5]	ch[6]	ch[7]	ch[8]	ch[9]	ch[10]	ch[11]	ch[12]	ch[13]	ch[14]	ch[15]
ch1:	14:35:19	-31.4	-36.35	-40.35	-36.35	-29.55	-19.9	-9.65	-1.1	-1.4	-7.3	-17.75	-27.05	-28.3	-24.55	-16.8	-7.85
ch1:	14:35:19	-3.25	-5.65	-5.2	-7.15	-16.75	-31.2	-37.0	-35.1	-26.5	-15.35	-5.1	3.5	10.25	12.6	7.05	-4.6
ch1:	14:35:19	-23.9	-41.2	-48.6	-43.6	-38.0	-33.2	-29.7	-25.35	-23.75	-24.75	-30.55	-38.4	-43.0	-45.55	-43.95	-39.65
ch1:	14:35:19	-33.7	-29.1	-25.55	-31.6	-36.35	-35.35	-31.65	-27.65	-20.4	-14.15	-10.3	-12.55	-22.7	-31.75	-38.05	-38.85
ch1:	14:35:19	-34.2	-27.4	-23.1	-14.95	-11.3	-12.5	-17.0	-23.65	-31.75	-35.9	-39.1	-39.65	-31.5	-19.3	-11.15	-10.45
ch1:	14:35:19	-9.25	-9.55	-11.25	-16.05	-17.2	-13.1	-4.0	6.0	18.8	26.75	24.2	14.3	4.0	0.5	7.8	23.3
ch1:	14:35:19	34.95	38.55	31.75	21.0	11.85	11.4	11.2	9.65	14.25	24.7	29.2	28.7	27.15	24.35	26.85	33.6
ch1:	14:35:19	44.95	56.45	64.2	60.7	50.85	32.1	15.95	16.25	31.35	42.45	50.3	61.15	68.0	63.45	51.3	39.1
ch1:	14:35:19	26.4	21.3	26.8	40.4	50.75	58.8	62.6	62.2	57.35	50.15	42.2	37.05	37.7	43.75	52.15	56.4
ch1:	14:35:19	56.95	50.65	41.9	31.8	26.45	22.8	21.65	21.8	27.2	34.1	42.15	48.2	46.55	39.1	30.75	26.6
ch1:	14:35:19	24.95	26.05	26.65	27.65	22.35	18.45	18.4	18.25	13.0	8.95	7.5	11.0	19.75	27.95	31.1	22.65
ch1:	14:35:19	5.1	-13.65	-18.15	-7.5	12.25	28.45	37.85	35.75	24.95	1.85	-29.2	-53.35	-65.35	-69.7	-70.4	-70.85
ch1:	14:35:19	-75.25	-77.05	-82.85	-91.7	-99.95	-108.0	-116.65	-117.2	-116.8	-115.45	-108.85	-103.8	-103.25	-99.55	-95.3	-97.0
