Ch	Time	ch[0]	ch[1]	ch[2]	ch[3]	ch[4]	ch[5]	ch[6]	ch[7]	ch[8]	ch[9]	ch[10]	ch[11]	ch[12]	ch[13]	ch[14]	ch[15]
ch1:	14:13:16	12.8	12.7	6.45	-0.4	-7.15	-12.55	-13.1	-7.4	1.5	12.15	21.05	21.1	15.4	9.85	2.7	-3.0
ch1:	14:13:16	-5.65	-7.6	-4.3	-1.5	2.0	-0.6	0.7	3.95	1.9	1.6	3.15	-2.35	-4.85	-9.0	-14.35	-14.4
ch1:	14:13:16	-14.0	-10.7	4.7	11.55	11.85	2.1	-13.45	-8.9	-20.2	-75.95	-75.8	-32.85	-25.65	-20.8	-13.95	-19.4
ch1:	14:13:16	-5.0	11.4	9.75	5.1	-11.85	-29.1	-27.0	-19.8	-4.8	6.7	8.85	5.0	-4.95	-18.7	-16.25	-12.45
ch1:	14:13:16	-2.2	-0.65	-2.7	-3.1	-0.7	-1.45	5.6	2.2	0.0	-21.9	-31.5	-18.4	-11.2	1.15	14.9	-2.4
ch1:	14:13:16	-0.6	-10.95	-31.25	-15.45	-82.3	-207.25	-148.15	-69.6	-140.2	-182.9	-141.45	-92.1	-39.0	-90.65	-137.6	-110.9
ch1:	14:13:19	3.8	-2.8	-1.65	-1.75	4.45	9.4	24.8	31.7	39.1	29.4	19.0	8.05	5.0	7.2	18.6	27.75
ch1:	14:13:19	38.85	44.4	38.95	20.65	3.1	-6.2	-3.9	-2.6	6.3	16.85	17.9	8.9	3.3	4.75	9.65	13.75
ch1:	14:13:19	21.65	23.95	24.65	27.6	28.9	33.0	25.7	-21.35	-49.55	-30.75	-23.55	-24.55	0.65	17.35	18.4	24.8
ch1:	14:13:19	26.7	20.6	14.75	9.8	5.35	3.15	4.85	8.1	7.55	4.3	-3.45	-12.3	-11.25	-1.1	7.5	14.8
ch1:	14:13:19	18.05	12.9	11.95	5.3	8.7	-2.0	-5.6	-8.35	1.55	15.9	27.3	27.35	16.4	-1.9	-20.15	-22.1
ch1:	14:13:19	-8.75	5.3	26.9	21.25	11.75	9.7	-8.8	-4.45	-2.0	-12.1	0.2	-12.8	-17.05	11.4	-115.55	-295.9
ch1:	14:13:19	-240.95	-170.25	-179.3	-142.4	-98.7	-101.35	-85.3	-73.55	-53.75	-32.25	-62.15	-59.2	-15.45	-12.75	-7.95	-21.45
ch1:	14:13:19	-32.2	-31.2	-57.0	-79.2	-47.6	-49.75	-23.2	-0.2	-15.15	-20.85	-18.65	-27.9	-5.1	1.0	-13.15	-18.6
ch1:	14:13:19	-21.5	-23.05	-16.75	-32.25	-12.45	-17.25	-61.4	-54.7	-39.2	-36.45	-18.25	-12.8	-34.95	-30.15	-29.5	-39.75
ch1:	14:13:19	-24.05	-3.35	16.15	2.5	-33.8	-15.5	11.5	-35.0	-57.5	-9.85	5.7	-23.05	-26.9	-8.65	-4.5	-24.7
ch1:	14:13:19	-21.95	-11.95	-17.6	-18.7	-9.5	-2.45	6.45	-4.65	-5.95	13.3	25.35	4.15	-17.35	-19.7	-11.75	-6.55
ch1:	14:13:19	21.4	45.55	35.25	-14.55	-21.2	-4.65	3.55	1.95	-3.15	-7.95	-8.8	-6.05	1.5	8.05	7.75	2.65
ch1:	14:13:19	-1.65	-19.5	-11.15	4.65	10.4	3.35	0.7	-7.85	-6.1	-9.2	-14.15	-10.7	-11.2	-12.05	15.65	32.95
ch1:	14:13:19	29.0	38.15	40.75	4.3	5.1	25.0	16.2	26.45	51.4	43.25	36.1	27.0	29.8	30.6	5.7	-2.85
ch1:	14:13:19	25.75	31.6	41.55	57.5	56.7	45.4	27.95	4.0	-4.1	-3.25	7.7	26.3	45.95	51.7	52.2	40.85
ch1:	14:13:19	33.6	23.5	13.9	-0.65	-6.35	-10.55	-5.05	3.4	13.0	18.35	19.15	16.2	10.85	9.05	9.2	5.75
ch1:	14:13:19	0.3	-0.75	5.6	16.25	24.25	26.2	23.75	21.7	21.05	18.0	14.6	14.65	16.15	15.55	15.95	20.65
ch1:	14:13:19	28.0	29.75	25.55	21.65	15.25	12.4	9.7	12.0	19.2	26.2	38.5	37.55	35.9	23.55	15.3	2.4
ch1:	14:13:19	11.05	15.35	32.5	29.7	38.7	34.95	32.05	17.5	7.25	-2.4	9.55	16.65	25.0	34.35	34.95	-26.85
ch1:	14:13:19	-32.25	17.8	17.85	13.8	25.6	-3.85	2.65	33.35	2.6	-92.35	-108.6	-93.25	-80.45	-49.15	2.4	-12.05
ch1:	14:13:19	-25.35	9.1	24.15	14.3	37.9	36.05	-48.75	-74.85	-6.3	-6.6	-1.1	37.05	41.1	6.7	-25.85	-53.85
ch1:	14:13:19	-36.25	-34.55	-16.15	9.65	33.45	30.25	29.7	28.25	37.3	36.3	20.65	-29.7	-51.65	-38.6	-29.15	-23.2
ch1:	14:13:19	-11.85	0.15	5.3	4.45	-10.05	-19.25	-9.2	2.6	13.8	23.35	25.75	19.75	3.05	-11.7	-7.3	13.4
ch1:	14:13:19	22.75	17.3	6.45	4.55	12.4	23.45	23.7	21.1	21.25	21.6	33.2	47.1	40.6	22.55	-6.6	-21.35
ch1:	14:13:22	25.2	42.9	45.45	48.1	58.75	24.1	-22.7	-1.9	22.55	13.6	1.0	-23.55	-42.05	-18.95	-0.85	-6.0
ch1:	14:13:22	-10.0	-11.8	-10.1	-1.6	0.7	6.9	6.7	-8.1	-14.95	-7.05	-3.5	-1.0	2.2	6.05	6.5	7.75
ch1:	14:13:22	10.45	16.9	13.2	4.55	-7.15	-11.2	-6.45	6.55	18.4	21.55	14.5	4.85	2.95	10.35	16.75	16.45
ch1:	14:13:22	9.45	0.15	-1.45	-5.3	-11.4	3.05	20.4	20.35	21.35	22.05	11.6	13.0	18.7	17.75	17.4	11.45
ch1:	14:13:22	5.75	11.65	17.4	26.65	30.5	24.15	11.05	-8.35	-21.45	-4.9	20.7	40.75	50.75	42.35	18.55	-2.6
ch1:	14:13:22	-10.75	0.0	21.3	37.75	39.8	33.95	26.2	17.85	8.1	0.75	-1.6	3.0	13.05	24.3	31.75	27.0
ch1:	14:13:22	13.8	11.0	17.5	17.35	14.05	18.8	24.95	22.85	15.7	12.25	12.9	14.5	16.75	19.1	21.9	22.75
ch1:	14:13:22	21.45	21.65	23.55	20.5	16.2	13.15	12.1	16.9	26.5	28.0	21.6	17.05	18.45	24.0	30.5	30.3
ch1:	14:13:22	18.5	-2.5	-20.75	-20.8	-3.55	15.7	31.4	39.3	30.9	9.1	-14.4	-29.15	-26.2	-11.75	4.0	15.35
ch1:	14:13:22	22.2	27.9	31.9	23.8	7.85	-5.65	-14.1	-16.25	-10.4	-2.8	-1.5	-6.05	-6.25	-1.9	4.1	12.3
ch1:	14:13:22	18.4	15.9	10.7	8.05	7.8	4.1	-5.15	-10.2	-3.1	8.15	18.7	24.8	21.95	14.8	10.6	5.15
ch1:	14:13:22	0.05	1.6	7.2	7.95	3.75	0.65	3.25	6.55	9.1	12.65	15.4	13.2	8.95	5.65	7.5	11.25
ch1:	14:13:22	8.7	5.2	11.7	17.95	12.25	0.05	-6.65	-5.9	2.65	15.9	26.7	26.45	14.55	-3.7	-14.8	-12.95
